# Energy DOS
3.17522526e-01 1.06071912e-01
3.24657917e-01 1.00646339e-01
3.31793070e-01 9.53682959e-02
3.38928461e-01 9.02446210e-02
3.46063852e-01 8.52821544e-02
3.53199244e-01 8.04874450e-02
3.60334635e-01 7.58661032e-02
3.67469788e-01 7.14230090e-02
3.74605179e-01 6.71627223e-02
3.81740570e-01 6.30887747e-02
3.88875961e-01 5.92044480e-02
3.96011114e-01 5.55130020e-02
4.03146505e-01 5.20157069e-02
4.10281897e-01 4.87145893e-02
4.17417288e-01 4.56104800e-02
4.24552679e-01 4.27037925e-02
4.31687832e-01 3.99948433e-02
4.38823462e-01 3.74823697e-02
4.45958376e-01 3.51659395e-02
4.53093767e-01 3.30438465e-02
4.60229158e-01 3.11141144e-02
4.67364550e-01 2.93746032e-02
4.74499941e-01 2.78224070e-02
4.81635332e-01 2.64544394e-02
4.88770723e-01 2.52675414e-02
4.95906115e-01 2.42578797e-02
5.03041506e-01 2.34211199e-02
5.10176420e-01 2.27535162e-02
5.17311811e-01 2.22502667e-02
5.24447203e-01 2.19067279e-02
5.31582594e-01 2.17178408e-02
5.38717985e-01 2.16786359e-02
5.45853376e-01 2.17838325e-02
5.52988768e-01 2.20282152e-02
5.60124159e-01 2.24061944e-02
5.67259550e-01 2.29122844e-02
5.74394464e-01 2.35408153e-02
5.81529856e-01 2.42862590e-02
5.88665247e-01 2.51429398e-02
5.95800638e-01 2.61052717e-02
6.02936029e-01 2.71674711e-02
6.10071421e-01 2.83239707e-02
6.17206812e-01 2.95690596e-02
6.24342203e-01 3.08972280e-02
6.31477594e-01 3.23031433e-02
6.38612509e-01 3.37809063e-02
6.45747900e-01 3.53256352e-02
6.52883291e-01 3.69317532e-02
6.60018682e-01 3.85941826e-02
6.67154074e-01 4.03077640e-02
6.74289465e-01 4.20672819e-02
6.81424856e-01 4.38678302e-02
6.88560247e-01 4.57047597e-02
6.95695639e-01 4.75730523e-02
7.02830553e-01 4.94679175e-02
7.09965944e-01 5.13850562e-02
7.17101336e-01 5.33198565e-02
7.24236727e-01 5.52678443e-02
7.31372118e-01 5.72246090e-02
7.38507509e-01 5.91859668e-02
7.45642900e-01 6.11475855e-02
7.52778292e-01 6.31053671e-02
7.59913683e-01 6.50552884e-02
7.67048597e-01 6.69931248e-02
7.74183989e-01 6.89153224e-02
7.81319380e-01 7.08174929e-02
7.88454771e-01 7.26961717e-02
7.95590162e-01 7.45475069e-02
8.02725554e-01 7.63675049e-02
8.09860945e-01 7.81525970e-02
8.16996336e-01 7.98990130e-02
8.24131727e-01 8.16033334e-02
8.31266642e-01 8.32614899e-02
8.38402033e-01 8.48704875e-02
8.45537424e-01 8.64263922e-02
8.52672815e-01 8.79260674e-02
8.59808207e-01 8.93659964e-02
8.66943598e-01 9.07427818e-02
8.74078989e-01 9.20531377e-02
8.81214380e-01 9.32937935e-02
8.88349771e-01 9.44617614e-02
8.95484686e-01 9.55540538e-02
9.02620077e-01 9.65674669e-02
9.09755468e-01 9.74992663e-02
9.16890860e-01 9.83468369e-02
9.24026251e-01 9.91075858e-02
9.31161642e-01 9.97787639e-02
9.38297033e-01 1.00358315e-01
9.45432425e-01 1.00844219e-01
9.52567816e-01 1.01234399e-01
9.59702730e-01 1.01527028e-01
9.66838121e-01 1.01720661e-01
9.73973513e-01 1.01814151e-01
9.81108904e-01 1.01806268e-01
9.88244295e-01 1.01696357e-01
9.95379686e-01 1.01483732e-01
1.00251508e+00 1.01168253e-01
1.00965047e+00 1.00750186e-01
1.01678586e+00 1.00229628e-01
1.02392077e+00 9.96077657e-02
1.03105617e+00 9.88853350e-02
1.03819156e+00 9.80637744e-02
1.04532695e+00 9.71450508e-02
1.05246234e+00 9.61313918e-02
1.05959773e+00 9.50252935e-02
1.06673312e+00 9.38297436e-02
1.07386851e+00 9.25482064e-02
1.08100390e+00 9.11844075e-02
1.08813882e+00 8.97426158e-02
1.09527421e+00 8.82273391e-02
1.10240960e+00 8.66436437e-02
1.10954499e+00 8.49969015e-02
1.11668038e+00 8.32929537e-02
1.12381577e+00 8.15380439e-02
1.13095117e+00 7.97388107e-02
1.13808656e+00 7.79022425e-02
